event ID,Cluster
50880093,5
50880093,5
50880094,0
51094492,4
51094494,4
51094496,4
51092594,2
50880093,5
50880093,5
50880093,5
50880094,0
51094300,4
51092527,4
51094301,2
51094301,2
51097384,2
50824698,5
50824700,0
1,1
51122125,4
51094301,2
1,1
50824700,0
50906114,5
1,1
1,1
50049879,3
51097405,4
51097405,4
51097408,4
51094304,2
51094472,6
51096083,4
51096085,2
50025858,3
51094306,2
51097423,2
51097426,2
50049904,3
1,1
1,1
50049904,3
1,1
1,1
1,1
1,1
50906118,5
50824721,0
51094308,4
50788542,5
50824721,0
51001406,2
1,1
1,1
50025868,3
51094310,4
51094310,4
51094311,4
1,1
51094312,2
1,1
1,1
51096105,2
51094312,2
1,1
51094312,2
51096105,2
51094312,2
51096105,2
51096107,2
51094312,2
51096107,2
51096107,2
51096017,6
51094312,2
51096107,2
51094312,2
51096109,2
51094312,2
51096109,2
51094312,2
51096017,6
51097438,4
51092600,4
51094312,2
51097438,4
51092880,6
51094312,2
51094312,2
51094313,6
51094443,2
1,1
1,1
50824696,0
50824696,0
51094443,2
1,1
51094300,4
51092527,4
51094301,2
51094301,2
51097384,2
50824698,5
50824700,0
1,1
51122125,4
51094301,2
1,1
50824700,0
1,1
1,1
50049879,3
51097405,4
51097405,4
51097408,4
51094304,2
51094472,6
51096083,4
51096085,2
50025858,3
50025868,3
51094310,4
51094310,4
51094311,4
1,1
51094312,2
1,1
1,1
51096105,2
51094312,2
1,1
51094312,2
51096105,2
51094312,2
51096105,2
51096107,2
51094312,2
51096107,2
51096107,2
51096017,6
51094312,2
51096107,2
51094312,2
51096109,2
51094312,2
51096109,2
51094312,2
51096017,6
51097438,4
51092600,4
51094312,2
51097438,4
51092880,6
51094312,2
51094312,2
51094313,6
1,1
1,1
50049879,3
51097405,4
51097405,4
51097408,4
51094304,2
51094472,6
51096083,4
51096085,2
50025858,3
51094310,4
50025868,3
51094310,4
51094310,4
51094311,4
50025878,3
1,1
1,1
1,1
1,1
51097435,2
1,1
1,1
51110021,4
1,1
51110021,4
51110023,4
1,1
51092814,4
50022215,3
1,1
1,1
51097405,4
50025850,3
50025852,3
51096013,4
51121602,6
1,1
51094472,6
51097405,4
51094472,6
51094472,6
51096083,4
50025858,3
51096089,2
51096089,2
51096089,2
50025868,3
50025868,3
50025868,3
50025868,3
51123195,2
50025868,3
51094488,2
51123195,2
50025868,3
51094488,2
51094490,4
50025872,3
51094490,4
50025872,3
51096099,2
51121617,2
51094490,4
50025874,3
51094490,4
50025874,3
51096101,6
51096101,6
51092872,4
51096101,6
1,1
50025878,3
51094492,4
51096101,6
51096103,4
1,1
50025878,3
51094496,4
51094496,4
51094496,4
50025878,3
51094496,4
50025878,3
51096017,6
51094498,6
51094498,6
51096017,6
51094498,6
51096017,6
51092880,6
1,1
49878626,3
51121812,6
50049938,3
1,1
49967690,3
1,1
50200838,3
51094500,2
51096109,2
51096017,6
51092606,4
51094312,2
51096109,2
51092543,4
51094443,2
51094443,2
51094448,6
51094453,2
51094462,6
51092558,2
51092564,4
51092564,4
51092569,4
51092573,6
51092579,6
51092579,6
50760945,0
50750127,0
51096089,2
51092579,6
51096089,2
51092579,6
51092579,6
51096091,6
51094484,2
51092579,6
51096091,6
51092579,6
51092579,6
51123195,2
51096095,2
51123195,2
51094488,2
51123195,2
51092585,2
51092585,2
51092590,4
51092594,2
51092594,2
51092600,4
1,1
51092543,4
51094443,2
51094443,2
51094448,6
51094453,2
51094462,6
51092558,2
51092564,4
51092564,4
51092569,4
51092573,6
51092579,6
51092579,6
50760945,0
50750127,0
51096089,2
51092579,6
51096089,2
51092579,6
51092579,6
51096091,6
51094484,2
51092579,6
51096091,6
51092579,6
51092579,6
51123195,2
51096095,2
51123195,2
51094488,2
51123195,2
51092585,2
51092585,2
51092590,4
51092594,2
51092594,2
51092600,4
1,1
51094443,2
51094443,2
51094472,6
51094472,6
51092839,6
51092848,6
51092848,6
51092848,6
51096089,2
51096091,6
1,1
1,1
51123195,2
51092857,4
51092857,4
51096097,2
51096099,2
51096099,2
51096101,6
51096101,6
51096103,4
50025878,3
51096017,6
1,1
51096017,6
51096017,6
1,1
51096109,2
1,1
51096109,2
51096017,6
51096109,2
51096109,2
51094443,2
51094443,2
51094443,2
51094448,6
51094472,6
51094472,6
51092839,6
51092848,6
51094488,2
51123195,2
51096097,2
51096099,2
51096099,2
51096099,2
51096101,6
51096101,6
51096103,4
51097438,4
51092880,6
51092880,6
51092880,6
51092527,4
51092531,2
51097384,2
51094301,2
51092537,4
51092543,4
51092788,4
50750118,0
50750119,0
50761016,0
50750119,0
50725506,0
51094443,2
51001399,4
51122126,6
51122127,4
51123195,2
51094488,2
51123195,2
51092585,2
51092585,2
51121803,6
51121803,6
51121804,6
51121620,4
51117626,6
51117627,6
50801215,0
50801215,0
50200836,3
51121625,2
51121626,2
51110080,4
51110082,4
51110085,4
50022235,3
51121628,2
51110085,4
50874520,5
1,1
50693313,0
50693315,0
50693315,0
50693315,0
51122130,4
51092831,4
51092839,6
51094476,4
1,1
50651193,0
50651194,0
51096089,2
50651194,0
51096089,2
50651194,0
51096089,2
1,1
51096089,2
50651194,0
51094480,4
51096089,2
51001404,4
50906115,5
50651194,0
51096089,2
51092848,6
50651194,0
51096089,2
51001405,2
51096089,2
1,1
50750127,0
50651194,0
51096089,2
50651194,0
51096089,2
50651194,0
51096091,6
50651194,0
51096091,6
51117624,6
51096091,6
51117624,6
51096091,6
51096091,6
51117624,6
51096091,6
51117624,6
1,1
51096091,6
51117624,6
51096091,6
51094484,2
51096091,6
51117624,6
51096091,6
51117624,6
1,1
51096091,6
51117624,6
51096091,6
51117624,6
51096091,6
51117624,6
51096091,6
51117624,6
51096091,6
51117624,6
50880088,0
51123195,2
1,1
50906118,5
51123195,2
50725513,0
51123195,2
51117624,6
50880089,0
51123195,2
51123195,2
51117624,6
51123195,2
51121615,2
51123195,2
50937542,5
1,1
50906120,5
50966770,5
1,1
49878624,3
50801215,0
